sample	condition	batch_effect
ectoderm_01	ectoderm	NA
endoderm_02	endoderm	NA
mesoderm_03	mesoderm	NA
psc_04	psc	NA
ectoderm_05	ectoderm	NA
endoderm_06	endoderm	NA
mesoderm_07	mesoderm	NA
psc_08	psc	NA
ectoderm_09	ectoderm	NA
endoderm_10	endoderm	NA
mesoderm_11	mesoderm	NA
psc_12	psc	NA
