sample	condition	batch_effect
mesoderm_26	mesoderm	NA
ectoderm_27	ectoderm	NA
endoderm_28	endoderm	NA
psc_29	psc	NA
mesoderm_30	mesoderm	NA
ectoderm_31	ectoderm	NA
endoderm_38	endoderm	NA
psc_39	psc	NA
